delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
47,0,47,47,47,0,34.8,0.00363,0.00363,0.0,47,0,0.00363,0.0,2020-12-27
0,0,0,47,47,0,34.8,0.00363,0.00363,0.0,47,0,0.00363,0.0,2020-12-28
0,0,0,47,47,0,34.8,0.00363,0.00363,0.0,47,0,0.00363,0.0,2020-12-29
0,0,0,47,47,0,0.6,0.00363,0.00363,0.0,47,0,0.00363,0.0,2020-12-30
0,0,0,47,47,0,0.6,0.00363,0.00363,0.0,47,0,0.00363,0.0,2020-12-31
0,0,0,47,47,0,0.6,0.00363,0.00363,0.0,47,0,0.00363,0.0,2021-01-01
405,0,405,452,452,0,5.7,0.03493,0.03493,0.0,452,0,0.03493,0.0,2021-01-02
413,1,413,865,865,1,10.9,0.06685,0.06685,8e-05,865,1,0.06685,8e-05,2021-01-03
855,0,855,1720,1720,1,21.7,0.13293,0.13293,8e-05,1720,1,0.13293,8e-05,2021-01-04
793,1,793,2513,2513,2,21.2,0.19421,0.19421,0.00015,2513,2,0.19421,0.00015,2021-01-05
1023,1,1023,3536,3536,3,29.9,0.27327,0.27327,0.00023,3536,3,0.27327,0.00023,2021-01-06
586,1,586,4122,4122,4,26.2,0.31856,0.31856,0.00031,4122,4,0.31856,0.00031,2021-01-07
1175,1,1175,5297,5297,5,33.7,0.40937,0.40937,0.00039,5297,5,0.40937,0.00039,2021-01-08
1152,1,1152,6449,6449,6,41.0,0.4984,0.4984,0.00046,6449,6,0.4984,0.00046,2021-01-09
949,1,949,7398,7398,7,47.0,0.57174,0.57174,0.00054,7398,7,0.57174,0.00054,2021-01-10
1229,0,1229,8627,8627,7,43.9,0.66672,0.66672,0.00054,8627,7,0.66672,0.00054,2021-01-11
1804,4,1804,10431,10431,11,42.6,0.80614,0.80614,0.00085,10431,11,0.80614,0.00085,2021-01-12
673,2,673,11104,11104,13,43.0,0.85815,0.85815,0.001,11104,13,0.85815,0.001,2021-01-13
253,1,253,11357,11357,14,44.0,0.87771,0.87771,0.00108,11357,14,0.87771,0.00108,2021-01-14
385,0,385,11742,11742,14,45.5,0.90746,0.90746,0.00108,11742,14,0.90746,0.00108,2021-01-15
925,5,925,12667,12667,19,49.1,0.97895,0.97895,0.00147,12667,19,0.97895,0.00147,2021-01-16
186,7,193,12860,12853,26,49.8,0.99386,0.99332,0.00201,12853,26,0.99332,0.00201,2021-01-17
55,103,158,13018,12908,129,44.4,1.00607,0.99757,0.00997,12908,129,0.99757,0.00997,2021-01-18
91,21,112,13130,12999,150,44.8,1.01473,1.00461,0.01159,12999,150,1.00461,0.01159,2021-01-19
447,3,449,13579,13446,153,41.4,1.04943,1.03915,0.01182,13446,153,1.03915,0.01182,2021-01-20
157,0,157,13736,13603,153,39.1,1.06156,1.05128,0.01182,13603,153,1.05128,0.01182,2021-01-21
118,0,118,13854,13721,153,39.4,1.07068,1.0604,0.01182,13721,153,1.0604,0.01182,2021-01-22
57,208,265,14119,13778,361,40.1,1.09116,1.06481,0.0279,13778,361,1.06481,0.0279,2021-01-23
6,44,50,14169,13784,405,40.3,1.09503,1.06527,0.0313,13784,405,1.06527,0.0313,2021-01-24
11,1593,1604,15773,13795,1998,44.8,1.21899,1.06612,0.15441,13795,1998,1.06612,0.15441,2021-01-25
29,1522,1551,17324,13824,3520,47.7,1.33886,1.06836,0.27204,13824,3520,1.06836,0.27204,2021-01-26
30,1339,1368,18692,13854,4859,48.3,1.44458,1.07068,0.37552,13854,4859,1.07068,0.37552,2021-01-27
11,1424,1435,20127,13865,6283,52.0,1.55548,1.07153,0.48557,13865,6283,1.07153,0.48557,2021-01-28
71,1315,1386,21513,13936,7598,55.6,1.6626,1.07702,0.5872,13936,7598,1.07702,0.5872,2021-01-29
63,1452,1514,23027,13999,9050,59.5,1.7796,1.08189,0.69941,13999,9050,1.08189,0.69941,2021-01-30
285,1237,1522,24549,14284,10287,63.5,1.89723,1.10391,0.79501,14284,10287,1.10391,0.79501,2021-01-31
269,1365,1634,26183,14553,11652,65.3,2.02351,1.1247,0.9005,14553,11652,1.1247,0.9005,2021-02-01
221,1546,1767,27950,14774,13198,59.3,2.16007,1.14178,1.01998,14774,13198,1.14178,1.01998,2021-02-02
419,1644,2062,30012,15193,14842,63.7,2.31943,1.17416,1.14704,15193,14842,1.17416,1.14704,2021-02-03
613,1076,1688,31700,15806,15918,67.3,2.44988,1.22154,1.2302,15806,15918,1.22154,1.2302,2021-02-04
788,748,1535,33235,16594,16666,70.6,2.56851,1.28244,1.288,16594,16666,1.28244,1.288,2021-02-05
602,1014,1614,34849,17196,17680,74.0,2.69324,1.32896,1.36637,17196,17680,1.32896,1.36637,2021-02-06
200,582,782,35631,17396,18262,75.6,2.75368,1.34442,1.41135,17396,18262,1.34442,1.41135,2021-02-07
486,708,1194,36825,17882,18970,78.2,2.84596,1.38198,1.46606,17882,18970,1.38198,1.46606,2021-02-08
522,410,931,37756,18404,19380,62.1,2.91791,1.42232,1.49775,18404,19380,1.42232,1.49775,2021-02-09
501,445,946,38702,18905,19825,61.3,2.99102,1.46104,1.53214,18905,19825,1.46104,1.53214,2021-02-10
773,43,816,39518,19678,19868,62.6,3.05408,1.52078,1.53546,19678,19868,1.52078,1.53546,2021-02-11
1038,194,1227,40745,20716,20062,64.5,3.14891,1.601,1.55046,20716,20062,1.601,1.55046,2021-02-12
446,428,873,41618,21162,20490,57.3,3.21638,1.63547,1.58353,21162,20490,1.63547,1.58353,2021-02-13
0,0,0,41618,21162,20490,57.3,3.21638,1.63547,1.58353,21162,20490,1.63547,1.58353,2021-02-14
1752,49,1793,43411,22914,20539,59.8,3.35494,1.77087,1.58732,22914,20539,1.77087,1.58732,2021-02-15
1904,16,1916,45327,24818,20555,62.4,3.50302,1.91802,1.58856,24818,20555,1.91802,1.58856,2021-02-16
1790,287,2072,47399,26608,20842,65.3,3.66315,2.05635,1.61074,26608,20842,2.05635,1.61074,2021-02-17
2159,137,2292,49691,28767,20979,57.3,3.84028,2.22321,1.62133,28767,20979,2.22321,1.62133,2021-02-18
3200,125,3301,52992,31967,21104,54.2,4.0954,2.47051,1.63099,31967,21104,2.47051,1.63099,2021-02-19
4704,121,4780,57772,36671,21225,59.1,4.46481,2.83406,1.64034,36671,21225,2.83406,1.64034,2021-02-20
1217,20,1218,58990,37888,21245,60.3,4.55894,2.92811,1.64188,37888,21245,2.92811,1.64188,2021-02-21
2612,49,2642,61632,40500,21294,63.0,4.76312,3.12997,1.64567,40500,21294,3.12997,1.64567,2021-02-22
2769,26,2780,64412,43269,21320,58.8,4.97797,3.34397,1.64768,43269,21320,3.34397,1.64768,2021-02-23
3131,194,3308,67720,46400,21514,59.3,5.23362,3.58594,1.66267,46400,21514,3.58594,1.66267,2021-02-24
2525,550,3056,70776,48925,22064,62.0,5.4698,3.78108,1.70518,48925,22064,3.78108,1.70518,2021-02-25
2953,992,3922,74698,51878,23056,65.4,5.77291,4.0093,1.78184,51878,23056,4.0093,1.78184,2021-02-26
2546,291,2813,77511,54424,23347,62.7,5.9903,4.20607,1.80433,54424,23347,4.20607,1.80433,2021-02-27
