delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
107,0,107,107,107,0,101.9,0.01934,0.01934,0.0,107,0,0.01934,0.0,2020-12-27
0,0,0,107,107,0,101.9,0.01934,0.01934,0.0,107,0,0.01934,0.0,2020-12-28
0,0,0,107,107,0,101.9,0.01934,0.01934,0.0,107,0,0.01934,0.0,2020-12-29
0,0,0,107,107,0,2.1,0.01934,0.01934,0.0,107,0,0.01934,0.0,2020-12-30
0,0,0,107,107,0,2.1,0.01934,0.01934,0.0,107,0,0.01934,0.0,2020-12-31
0,0,0,107,107,0,2.1,0.01934,0.01934,0.0,107,0,0.01934,0.0,2021-01-01
962,2,962,1069,1069,2,21.5,0.19322,0.19322,0.00036,1069,2,0.19322,0.00036,2021-01-02
917,0,917,1986,1986,2,39.9,0.35897,0.35897,0.00036,1986,2,0.35897,0.00036,2021-01-03
614,0,614,2600,2600,2,52.2,0.46995,0.46995,0.00036,2600,2,0.46995,0.00036,2021-01-04
955,2,955,3555,3555,4,45.0,0.64256,0.64256,0.00072,3555,4,0.64256,0.00072,2021-01-05
296,0,296,3851,3851,4,48.7,0.69606,0.69606,0.00072,3851,4,0.69606,0.00072,2021-01-06
647,0,647,4498,4498,4,56.9,0.81301,0.81301,0.00072,4498,4,0.81301,0.00072,2021-01-07
557,0,557,5055,5055,4,63.9,0.91369,0.91369,0.00072,5055,4,0.91369,0.00072,2021-01-08
560,0,560,5615,5615,4,71.0,1.0149,1.0149,0.00072,5615,4,1.0149,0.00072,2021-01-09
77,0,77,5692,5692,4,72.0,1.02882,1.02882,0.00072,5692,4,1.02882,0.00072,2021-01-10
186,0,186,5878,5878,4,49.8,1.06244,1.06244,0.00072,5878,4,1.06244,0.00072,2021-01-11
217,0,217,6095,6095,4,44.3,1.10166,1.10166,0.00072,6095,4,1.10166,0.00072,2021-01-12
918,0,918,7013,7013,4,51.0,1.26759,1.26759,0.00072,7013,4,1.26759,0.00072,2021-01-13
974,0,974,7987,7987,4,58.1,1.44364,1.44364,0.00072,7987,4,1.44364,0.00072,2021-01-14
820,0,820,8807,8807,4,64.0,1.59185,1.59185,0.00072,8807,4,1.59185,0.00072,2021-01-15
