delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
316,0,316,316,316,0,112.9,0.01668,0.01668,0.0,316,0,0.01668,0.0,2020-12-27
6,0,6,322,322,0,115.0,0.017,0.017,0.0,322,0,0.017,0.0,2020-12-28
0,0,0,322,322,0,115.0,0.017,0.017,0.0,322,0,0.017,0.0,2020-12-29
0,0,0,322,322,0,115.0,0.017,0.017,0.0,322,0,0.017,0.0,2020-12-30
0,0,0,322,322,0,2.5,0.017,0.017,0.0,322,0,0.017,0.0,2020-12-31
0,0,0,322,322,0,2.5,0.017,0.017,0.0,322,0,0.017,0.0,2021-01-01
166,0,166,488,488,0,3.8,0.02576,0.02576,0.0,488,0,0.02576,0.0,2021-01-02
6,0,6,494,494,0,3.8,0.02608,0.02608,0.0,494,0,0.02608,0.0,2021-01-03
1074,3,1074,1568,1568,3,6.6,0.08278,0.08278,0.00016,1568,3,0.08278,0.00016,2021-01-04
1546,2,1546,3114,3114,5,13.2,0.1644,0.1644,0.00026,3114,5,0.1644,0.00026,2021-01-05
953,0,953,4067,4067,5,17.2,0.21472,0.21472,0.00026,4067,5,0.21472,0.00026,2021-01-06
2218,4,2218,6285,6285,9,26.5,0.33182,0.33182,0.00048,6285,9,0.33182,0.00048,2021-01-07
2200,7,2200,8485,8485,16,35.8,0.44797,0.44797,0.00084,8485,16,0.44797,0.00084,2021-01-08
2088,8,2088,10573,10573,24,44.6,0.5582,0.5582,0.00127,10573,24,0.5582,0.00127,2021-01-09
953,0,953,11526,11526,24,48.7,0.60852,0.60852,0.00127,11526,24,0.60852,0.00127,2021-01-10
2187,2,2187,13713,13713,26,53.5,0.72398,0.72398,0.00137,13713,26,0.72398,0.00137,2021-01-11
2091,9,2091,15804,15804,35,40.2,0.83438,0.83438,0.00185,15804,35,0.83438,0.00185,2021-01-12
2097,12,2097,17901,17901,47,45.6,0.94509,0.94509,0.00248,17901,47,0.94509,0.00248,2021-01-13
2664,6,2664,20565,20565,53,52.4,1.08573,1.08573,0.0028,20565,53,1.08573,0.0028,2021-01-14
2817,6,2817,23382,23382,59,59.5,1.23446,1.23446,0.00311,23382,59,1.23446,0.00311,2021-01-15
2418,3,2418,25800,25800,62,65.7,1.36212,1.36212,0.00327,25800,62,1.36212,0.00327,2021-01-16
809,106,909,26709,26609,168,68.0,1.41011,1.40483,0.00887,26609,168,1.40483,0.00887,2021-01-17
1058,252,1306,28015,27667,420,71.3,1.47906,1.46069,0.02217,27667,420,1.46069,0.02217,2021-01-18
1119,15,1132,29147,28786,435,61.4,1.53882,1.51976,0.02297,28786,435,1.51976,0.02297,2021-01-19
1408,4,1409,30556,30194,439,62.8,1.61321,1.5941,0.02318,30194,439,1.5941,0.02318,2021-01-20
948,36,981,31537,31142,475,64.8,1.665,1.64415,0.02508,31142,475,1.64415,0.02508,2021-01-21
659,2,661,32198,31801,477,66.2,1.6999,1.67894,0.02518,31801,477,1.67894,0.02518,2021-01-22
360,43,403,32601,32161,520,67.0,1.72118,1.69795,0.02745,32161,520,1.69795,0.02745,2021-01-23
41,6,47,32648,32202,526,67.1,1.72366,1.70011,0.02777,32202,526,1.70011,0.02777,2021-01-24
150,937,1087,33735,32352,1463,69.4,1.78105,1.70803,0.07724,32352,1463,1.70803,0.07724,2021-01-25
270,1619,1888,35623,32622,3082,71.5,1.88072,1.72229,0.16271,32622,3082,1.72229,0.16271,2021-01-26
386,1104,1489,37112,33008,4186,59.2,1.95934,1.74267,0.221,33008,4186,1.74267,0.221,2021-01-27
79,2218,2297,39409,33087,6404,62.9,2.08061,1.74684,0.3381,33087,6404,1.74684,0.3381,2021-01-28
227,1851,2077,41486,33314,8255,66.2,2.19026,1.75882,0.43582,33314,8255,1.75882,0.43582,2021-01-29
307,1908,2212,43698,33621,10163,69.7,2.30705,1.77503,0.53656,33621,10163,1.77503,0.53656,2021-01-30
150,978,1128,44826,33771,11141,71.5,2.3666,1.78295,0.58819,33771,11141,1.78295,0.58819,2021-01-31
241,2316,2554,47380,34012,13457,73.1,2.50144,1.79567,0.71047,34012,13457,1.79567,0.71047,2021-02-01
176,2198,2374,49754,34188,15655,62.2,2.62677,1.80496,0.82651,34188,15655,1.80496,0.82651,2021-02-02
528,2344,2867,52621,34716,17999,65.8,2.77814,1.83284,0.95026,34716,17999,1.83284,0.95026,2021-02-03
654,3023,3671,56292,35370,21022,70.4,2.97195,1.86737,1.10986,35370,21022,1.86737,1.10986,2021-02-04
488,3388,3861,60153,35858,24410,75.2,3.17579,1.89313,1.28873,35858,24410,1.89313,1.28873,2021-02-05
440,2487,2926,63079,36298,26897,78.9,3.33027,1.91636,1.42003,36298,26897,1.91636,1.42003,2021-02-06
145,726,869,63948,36443,27623,79.9,3.37615,1.92402,1.45836,36443,27623,1.92402,1.45836,2021-02-07
670,1211,1878,65826,37113,28834,82.3,3.4753,1.95939,1.5223,37113,28834,1.95939,1.5223,2021-02-08
959,1221,2171,67997,38072,30055,65.1,3.58992,2.01002,1.58676,38072,30055,2.01002,1.58676,2021-02-09
889,1649,2523,70520,38961,31704,67.6,3.72312,2.05696,1.67382,38961,31704,2.05696,1.67382,2021-02-10
1085,1288,2351,72871,40046,32992,69.8,3.84724,2.11424,1.74182,40046,32992,2.11424,1.74182,2021-02-11
948,779,1721,74592,40994,33771,71.5,3.9381,2.16429,1.78295,40994,33771,2.16429,1.78295,2021-02-12
1044,372,1413,76005,42038,34143,64.6,4.0127,2.21941,1.80259,42038,34143,2.21941,1.80259,2021-02-13
452,38,489,76494,42490,34181,65.1,4.03852,2.24327,1.80459,42490,34181,2.24327,1.80459,2021-02-14
1017,168,1180,77674,43507,34349,66.1,4.10082,2.29696,1.81346,43507,34349,2.29696,1.81346,2021-02-15
1469,287,1751,79425,44976,34636,67.6,4.19326,2.37452,1.82862,44976,34636,2.37452,1.82862,2021-02-16
1663,230,1876,81301,46639,34866,69.2,4.29231,2.46232,1.84076,46639,34866,2.46232,1.84076,2021-02-17
1648,251,1880,83181,48287,35117,61.0,4.39156,2.54932,1.85401,48287,35117,2.54932,1.85401,2021-02-18
1252,273,1516,84697,49539,35390,62.1,4.4716,2.61542,1.86842,49539,35390,2.61542,1.86842,2021-02-19
1165,340,1491,86188,50704,35730,56.6,4.55032,2.67693,1.88637,50704,35730,2.67693,1.88637,2021-02-20
577,79,655,86843,51281,35809,57.0,4.5849,2.70739,1.89054,51281,35809,2.70739,1.89054,2021-02-21
1523,570,2084,88927,52804,36379,58.4,4.69492,2.7878,1.92064,52804,36379,2.7878,1.92064,2021-02-22
1491,124,1610,90537,54295,36503,52.6,4.77992,2.86652,1.92718,54295,36503,2.86652,1.92718,2021-02-23
1461,486,1941,92478,55756,36989,53.7,4.8824,2.94365,1.95284,55756,36989,2.94365,1.95284,2021-02-24
2314,639,2913,95391,58070,37628,55.4,5.03619,3.06582,1.98658,58070,37628,3.06582,1.98658,2021-02-25
2680,477,3142,98533,60750,38105,57.2,5.20207,3.20731,2.01176,60750,38105,3.20731,2.01176,2021-02-26
3660,390,4043,102576,64410,38495,55.2,5.41552,3.40054,2.03235,64410,38495,3.40054,2.03235,2021-02-27
2212,158,2367,104943,66622,38653,56.5,5.54049,3.51732,2.04069,66622,38653,3.51732,2.04069,2021-02-28
2286,465,2747,107690,68908,39118,55.6,5.68552,3.63801,2.06524,68908,39118,3.63801,2.06524,2021-03-01
3624,804,4419,112109,72532,39922,52.5,5.91882,3.82934,2.10769,72532,39922,3.82934,2.10769,2021-03-02
4011,1101,5099,117208,76543,41023,54.9,6.18802,4.04111,2.16582,76543,41023,4.04111,2.16582,2021-03-03
4690,819,5489,122697,81233,41842,57.5,6.47782,4.28872,2.20906,81233,41842,4.28872,2.20906,2021-03-04
5665,594,6243,128940,86898,42436,60.4,6.80742,4.5878,2.24042,86898,42436,4.5878,2.24042,2021-03-05
7716,834,8527,137467,94614,43270,64.4,7.2576,4.99517,2.28445,94614,43270,4.99517,2.28445,2021-03-06
3314,107,3407,140874,97928,43377,66.0,7.43748,5.17013,2.2901,97928,43377,5.17013,2.2901,2021-03-07
4433,1112,5514,146388,102361,44489,68.6,7.72859,5.40417,2.34881,102361,44489,5.40417,2.34881,2021-03-08
5568,1058,6559,152947,107929,45547,64.8,8.07487,5.69814,2.40466,107929,45547,5.69814,2.40466,2021-03-09
5500,1407,6871,159818,113429,46954,62.2,8.43763,5.98851,2.47895,113429,46954,5.98851,2.47895,2021-03-10
6002,1346,7300,167118,119431,48300,65.1,8.82304,6.30539,2.55001,119431,48300,6.30539,2.55001,2021-03-11
4094,1083,5157,172275,123525,49383,67.1,9.0953,6.52153,2.60719,123525,49383,6.52153,2.60719,2021-03-12
5974,1062,7000,179275,129499,50445,67.7,9.46487,6.83693,2.66326,129499,50445,6.83693,2.66326,2021-03-13
2290,477,2760,182035,131789,50922,68.8,9.61058,6.95783,2.68844,131789,50922,6.95783,2.68844,2021-03-14
2178,1480,3648,185683,133967,52402,65.0,9.80318,7.07282,2.76658,133967,52402,7.07282,2.76658,2021-03-15
2197,1683,3867,189550,136164,54085,66.3,10.00734,7.18881,2.85543,136164,54085,7.18881,2.85543,2021-03-16
2197,1987,4174,193724,138361,56072,67.8,10.22771,7.3048,2.96033,138361,56072,7.3048,2.96033,2021-03-17
2360,2139,4475,198199,140721,58211,69.3,10.46396,7.4294,3.07326,140721,58211,7.4294,3.07326,2021-03-18
1894,2355,4242,202441,142615,60566,70.8,10.68792,7.52939,3.1976,142615,60566,7.52939,3.1976,2021-03-19
4196,2580,6760,209201,146811,63146,73.2,11.04482,7.75092,3.33381,146811,63146,7.75092,3.33381,2021-03-20
2740,1738,4467,213668,149551,64884,72.8,11.28065,7.89558,3.42557,149551,64884,7.89558,3.42557,2021-03-21
3205,1807,4987,218655,152756,66691,69.2,11.54394,8.06479,3.52097,152756,66691,8.06479,3.52097,2021-03-22
3445,1844,5267,223922,156201,68535,70.9,11.82202,8.24667,3.61832,156201,68535,8.24667,3.61832,2021-03-23
4548,3391,7915,231837,160749,71926,73.4,12.23989,8.48678,3.79735,160749,71926,8.48678,3.79735,2021-03-24
4613,2947,7526,239363,165362,74873,73.8,12.63723,8.73033,3.95294,165362,74873,8.73033,3.95294,2021-03-25
4973,3162,8105,247468,170335,78035,76.3,13.06513,8.99288,4.11988,170335,78035,8.99288,4.11988,2021-03-26
4706,4173,8834,256302,175041,82208,79.0,13.53153,9.24133,4.34019,175041,82208,9.24133,4.34019,2021-03-27
1570,1132,2697,258999,176611,83340,79.8,13.67392,9.32422,4.39996,176611,83340,9.32422,4.39996,2021-03-28
4006,1793,5775,264774,180617,85133,74.1,13.97881,9.53572,4.49462,180617,85133,9.53572,4.49462,2021-03-29
3674,2844,6497,271271,184291,87977,75.9,14.32182,9.72969,4.64477,184291,87977,9.72969,4.64477,2021-03-30
5105,4087,9158,280429,189396,92064,78.5,14.80532,9.99921,4.86054,189396,92064,9.99921,4.86054,2021-03-31
4189,4535,8687,289116,193585,96599,80.9,15.26395,10.22037,5.09997,193585,96599,10.22037,5.09997,2021-04-01
