delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
720,0,720,720,720,0,100.0,0.0126,0.0126,0.0,720,0,0.0126,0.0,2020-12-27
0,0,0,720,720,0,100.0,0.0126,0.0126,0.0,720,0,0.0126,0.0,2020-12-28
0,0,0,720,720,0,100.0,0.0126,0.0126,0.0,720,0,0.0126,0.0,2020-12-29
0,0,0,720,720,0,2.3,0.0126,0.0126,0.0,720,0,0.0126,0.0,2020-12-30
1490,0,1490,2210,2210,0,6.5,0.03869,0.03869,0.0,2210,0,0.03869,0.0,2020-12-31
919,0,919,3129,3129,0,9.2,0.05478,0.05478,0.0,3129,0,0.05478,0.0,2021-01-01
3673,0,3673,6802,6802,0,20.1,0.11908,0.11908,0.0,6802,0,0.11908,0.0,2021-01-02
3837,0,3837,10639,10639,0,31.4,0.18625,0.18625,0.0,10639,0,0.18625,0.0,2021-01-03
5826,0,5826,16465,16465,0,48.6,0.28825,0.28825,0.0,16465,0,0.28825,0.0,2021-01-04
7236,0,7236,23701,23701,0,45.2,0.41492,0.41492,0.0,23701,0,0.41492,0.0,2021-01-05
7652,0,7652,31353,31353,0,58.7,0.54888,0.54888,0.0,31353,0,0.54888,0.0,2021-01-06
8910,0,8910,40263,40263,0,63.8,0.70487,0.70487,0.0,40263,0,0.70487,0.0,2021-01-07
10455,0,10455,50718,50718,0,80.4,0.8879,0.8879,0.0,50718,0,0.8879,0.0,2021-01-08
10566,0,10566,61284,61284,0,97.1,1.07287,1.07287,0.0,61284,0,1.07287,0.0,2021-01-09
8165,0,8165,69449,69449,0,110.0,1.21581,1.21581,0.0,69449,0,1.21581,0.0,2021-01-10
4072,0,4072,73521,73521,0,100.9,1.2871,1.2871,0.0,73521,0,1.2871,0.0,2021-01-11
5214,0,5214,78735,78735,0,78.6,1.37838,1.37838,0.0,78735,0,1.37838,0.0,2021-01-12
8019,0,8019,86754,86754,0,79.3,1.51876,1.51876,0.0,86754,0,1.51876,0.0,2021-01-13
7073,0,7073,93827,93827,0,85.8,1.64259,1.64259,0.0,93827,0,1.64259,0.0,2021-01-14
4980,0,4980,98807,98807,0,90.4,1.72977,1.72977,0.0,98807,0,1.72977,0.0,2021-01-15
3369,0,3369,102176,102176,0,93.4,1.78875,1.78875,0.0,102176,0,1.78875,0.0,2021-01-16
702,453,1155,103331,102878,453,94.5,1.80897,1.80104,0.00793,102878,453,1.80104,0.00793,2021-01-17
713,244,957,104288,103591,697,87.0,1.82572,1.81352,0.0122,103591,697,1.81352,0.0122,2021-01-18
1092,3,1095,105383,104683,700,87.9,1.84489,1.83264,0.01225,104683,700,1.83264,0.01225,2021-01-19
1257,0,1257,106640,105940,700,79.6,1.8669,1.85465,0.01225,105940,700,1.85465,0.01225,2021-01-20
677,1416,2093,108733,106617,2116,73.5,1.90354,1.8665,0.03704,106617,2116,1.8665,0.03704,2021-01-21
673,850,1523,110256,107290,2966,74.5,1.9302,1.87828,0.05192,107290,2966,1.87828,0.05192,2021-01-22
273,3565,3838,114094,107563,6531,77.1,1.99739,1.88306,0.11434,107563,6531,1.88306,0.11434,2021-01-23
383,3745,4128,118222,107946,10276,79.9,2.06966,1.88976,0.1799,107946,10276,1.88976,0.1799,2021-01-24
164,5580,5744,123966,108110,15856,81.8,2.17022,1.89263,0.27758,108110,15856,1.89263,0.27758,2021-01-25
353,6988,7341,131307,108463,22844,78.2,2.29873,1.89881,0.39992,108463,22844,1.89881,0.39992,2021-01-26
163,7575,7738,139045,108626,30419,80.1,2.4342,1.90167,0.53253,108626,30419,1.90167,0.53253,2021-01-27
134,8698,8832,147877,108760,39117,85.1,2.58882,1.90401,0.6848,108760,39117,1.90401,0.6848,2021-01-28
47,10005,10052,157929,108807,49122,88.0,2.76479,1.90484,0.85996,108807,49122,1.90484,0.85996,2021-01-29
39,10682,10721,168650,108846,59804,93.9,2.95248,1.90552,1.04696,108846,59804,1.90552,1.04696,2021-01-30
23,8044,8067,176717,108869,67848,98.4,3.09371,1.90592,1.18779,108869,67848,1.90592,1.18779,2021-01-31
110,3875,3985,180702,108979,71723,95.4,3.16347,1.90785,1.25562,108979,71723,1.90785,1.25562,2021-02-01
443,5279,5722,186424,109422,77002,81.8,3.26364,1.9156,1.34804,109422,77002,1.9156,1.34804,2021-02-02
878,8024,8902,195326,110300,85026,85.7,3.41949,1.93097,1.48851,110300,85026,1.93097,1.48851,2021-02-03
1308,6635,7943,203269,111608,91661,89.2,3.55854,1.95387,1.60467,111608,91661,1.95387,1.60467,2021-02-04
2133,5128,7261,210530,113741,96789,92.4,3.68566,1.99121,1.69444,113741,96789,1.99121,1.69444,2021-02-05
2102,3238,5340,215870,115843,100027,94.7,3.77914,2.02801,1.75113,115843,100027,2.02801,1.75113,2021-02-06
2158,771,2929,218799,118001,100798,96.0,3.83042,2.06579,1.76463,118001,100798,2.06579,1.76463,2021-02-07
4310,802,5112,223911,122311,101600,98.2,3.91991,2.14125,1.77867,122311,101600,2.14125,1.77867,2021-02-08
4391,252,4643,228554,126702,101852,75.9,4.0012,2.21812,1.78308,126702,101852,2.21812,1.78308,2021-02-09
6728,176,6904,235458,133430,102028,78.1,4.12206,2.3359,1.78616,133430,102028,2.3359,1.78616,2021-02-10
6212,66,6278,241736,139642,102094,80.2,4.23197,2.44465,1.78732,139642,102094,2.44465,1.78732,2021-02-11
6341,186,6527,248263,145983,102280,82.4,4.34623,2.55566,1.79057,145983,102280,2.55566,1.79057,2021-02-12
5292,217,5509,253772,151275,102497,74.9,4.44268,2.64831,1.79437,151275,102497,2.64831,1.79437,2021-02-13
3890,34,3924,257696,155165,102531,76.1,4.51137,2.71641,1.79497,155165,102531,2.71641,1.79497,2021-02-14
5297,173,5470,263166,160462,102704,76.4,4.60713,2.80914,1.79799,160462,102704,2.80914,1.79799,2021-02-15
4664,771,5435,268601,165126,103475,77.7,4.70228,2.89079,1.81149,165126,103475,2.89079,1.81149,2021-02-16
6328,1060,7388,275989,171454,104535,79.8,4.83162,3.00157,1.83005,171454,104535,3.00157,1.83005,2021-02-17
8372,708,9080,285069,179826,105243,75.1,4.99058,3.14814,1.84244,179826,105243,3.14814,1.84244,2021-02-18
8917,650,9567,294636,188743,105893,68.7,5.15806,3.30424,1.85382,188743,105893,3.30424,1.85382,2021-02-19
8271,303,8574,303210,197014,106196,70.7,5.30817,3.44904,1.85913,197014,106196,3.44904,1.85913,2021-02-20
