delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
972,0,972,972,972,0,99.7,0.02177,0.02177,0.0,972,0,0.02177,0.0,2020-12-27
0,0,0,972,972,0,99.7,0.02177,0.02177,0.0,972,0,0.02177,0.0,2020-12-28
0,0,0,972,972,0,99.7,0.02177,0.02177,0.0,972,0,0.02177,0.0,2020-12-29
0,0,0,972,972,0,3.1,0.02177,0.02177,0.0,972,0,0.02177,0.0,2020-12-30
2212,0,2212,3184,3184,0,7.3,0.07132,0.07132,0.0,3184,0,0.07132,0.0,2020-12-31
0,0,0,3184,3184,0,7.3,0.07132,0.07132,0.0,3184,0,0.07132,0.0,2021-01-01
2378,0,2378,5562,5562,0,12.7,0.12459,0.12459,0.0,5562,0,0.12459,0.0,2021-01-02
2764,0,2764,8326,8326,0,19.0,0.18651,0.18651,0.0,8326,0,0.18651,0.0,2021-01-03
7310,0,7310,15636,15636,0,35.6,0.35026,0.35026,0.0,15636,0,0.35026,0.0,2021-01-04
9360,0,9360,24996,24996,0,41.3,0.55993,0.55993,0.0,24996,0,0.55993,0.0,2021-01-05
8288,0,8288,33284,33284,0,55.1,0.74559,0.74559,0.0,33284,0,0.74559,0.0,2021-01-06
10269,0,10269,43553,43553,0,49.1,0.97562,0.97562,0.0,43553,0,0.97562,0.0,2021-01-07
10864,0,10864,54417,54417,0,61.3,1.21899,1.21899,0.0,54417,0,1.21899,0.0,2021-01-08
9984,0,9984,64401,64401,0,72.6,1.44264,1.44264,0.0,64401,0,1.44264,0.0,2021-01-09
7169,0,7169,71570,71570,0,80.7,1.60323,1.60323,0.0,71570,0,1.60323,0.0,2021-01-10
9337,0,9337,80907,80907,0,86.4,1.81238,1.81238,0.0,80907,0,1.81238,0.0,2021-01-11
9465,0,9465,90372,90372,0,68.2,2.02441,2.02441,0.0,90372,0,2.02441,0.0,2021-01-12
9072,0,9072,99444,99444,0,71.0,2.22763,2.22763,0.0,99444,0,2.22763,0.0,2021-01-13
8119,0,8119,107563,107563,0,76.8,2.4095,2.4095,0.0,107563,0,2.4095,0.0,2021-01-14
7739,0,7739,115302,115302,0,82.4,2.58286,2.58286,0.0,115302,0,2.58286,0.0,2021-01-15
5627,0,5627,120929,120929,0,86.4,2.70891,2.70891,0.0,120929,0,2.70891,0.0,2021-01-16
2642,247,2889,123818,123571,247,88.4,2.77363,2.76809,0.00553,123571,247,2.76809,0.00553,2021-01-17
2447,679,3126,126944,126018,926,85.0,2.84365,2.82291,0.02074,126018,926,2.82291,0.02074,2021-01-18
2028,17,2045,128989,128046,943,86.4,2.88946,2.86834,0.02112,128046,943,2.86834,0.02112,2021-01-19
1325,1,1326,130315,129371,944,85.2,2.91917,2.89802,0.02115,129371,944,2.89802,0.02115,2021-01-20
819,1346,2165,132480,130190,2290,79.4,2.96766,2.91636,0.0513,130190,2290,2.91636,0.0513,2021-01-21
1086,741,1827,134307,131276,3031,80.5,3.00859,2.94069,0.0679,131276,3031,2.94069,0.0679,2021-01-22
