delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
272,0,272,272,272,0,28.5,0.00473,0.00473,0.0,272,0,0.00473,0.0,2020-12-27
959,0,959,1231,1231,0,128.9,0.02139,0.02139,0.0,1231,0,0.02139,0.0,2020-12-28
488,0,488,1719,1719,0,180.0,0.02987,0.02987,0.0,1719,0,0.02987,0.0,2020-12-29
1630,0,1630,3349,3349,0,8.6,0.05819,0.05819,0.0,3349,0,0.05819,0.0,2020-12-30
5291,0,5291,8640,8640,0,18.9,0.15011,0.15011,0.0,8640,0,0.15011,0.0,2020-12-31
3554,0,3554,12194,12194,0,26.6,0.21186,0.21186,0.0,12194,0,0.21186,0.0,2021-01-01
6705,0,6705,18899,18899,0,41.3,0.32835,0.32835,0.0,18899,0,0.32835,0.0,2021-01-02
5250,0,5250,24149,24149,0,52.7,0.41957,0.41957,0.0,24149,0,0.41957,0.0,2021-01-03
7480,0,7480,31629,31629,0,69.1,0.54952,0.54952,0.0,31629,0,0.54952,0.0,2021-01-04
7371,0,7371,39000,39000,0,66.7,0.67759,0.67759,0.0,39000,0,0.67759,0.0,2021-01-05
5119,0,5119,44119,44119,0,75.4,0.76653,0.76653,0.0,44119,0,0.76653,0.0,2021-01-06
7743,0,7743,51862,51862,0,64.9,0.90105,0.90105,0.0,51862,0,0.90105,0.0,2021-01-07
7726,0,7726,59588,59588,0,74.6,1.03529,1.03529,0.0,59588,0,1.03529,0.0,2021-01-08
6294,0,6294,65882,65882,0,82.4,1.14464,1.14464,0.0,65882,0,1.14464,0.0,2021-01-09
4039,0,4039,69921,69921,0,87.5,1.21481,1.21481,0.0,69921,0,1.21481,0.0,2021-01-10
5528,0,5528,75449,75449,0,79.8,1.31086,1.31086,0.0,75449,0,1.31086,0.0,2021-01-11
5391,0,5391,80840,80840,0,61.0,1.40452,1.40452,0.0,80840,0,1.40452,0.0,2021-01-12
5669,0,5669,86509,86509,0,61.8,1.50301,1.50301,0.0,86509,0,1.50301,0.0,2021-01-13
5454,0,5454,91963,91963,0,65.7,1.59777,1.59777,0.0,91963,0,1.59777,0.0,2021-01-14
6561,0,6561,98524,98524,0,70.4,1.71176,1.71176,0.0,98524,0,1.71176,0.0,2021-01-15
5637,0,5637,104161,104161,0,74.4,1.8097,1.8097,0.0,104161,0,1.8097,0.0,2021-01-16
4681,212,4893,109054,108842,212,77.9,1.89471,1.89103,0.00368,108842,212,1.89103,0.00368,2021-01-17
5286,978,6264,115318,114128,1190,79.1,2.00354,1.98287,0.02068,114128,1190,1.98287,0.02068,2021-01-18
4313,454,4767,120085,118441,1644,82.3,2.08637,2.0578,0.02856,118441,1644,2.0578,0.02856,2021-01-19
3259,1543,4802,124887,121700,3187,78.7,2.1698,2.11443,0.05537,121700,3187,2.11443,0.05537,2021-01-20
540,5052,5592,130479,122240,8239,73.1,2.26695,2.12381,0.14315,122240,8239,2.12381,0.14315,2021-01-21
487,3515,4002,134481,122727,11754,75.3,2.33648,2.13227,0.20421,122727,11754,2.13227,0.20421,2021-01-22
581,6629,7210,141691,123308,18383,79.3,2.46175,2.14236,0.31939,123308,18383,2.14236,0.31939,2021-01-23
612,5082,5694,147385,123920,23465,82.5,2.56068,2.153,0.40768,123920,23465,2.153,0.40768,2021-01-24
771,7340,8111,155496,124691,30805,87.1,2.7016,2.16639,0.53521,124691,30805,2.16639,0.53521,2021-01-25
724,7232,7956,163452,125415,38037,79.5,2.83983,2.17897,0.66086,125415,38037,2.17897,0.66086,2021-01-26
996,5117,6113,169565,126411,43154,77.2,2.94604,2.19627,0.74976,126411,43154,2.19627,0.74976,2021-01-27
779,7496,8275,177840,127190,50650,81.0,3.08981,2.20981,0.88,127190,50650,2.20981,0.88,2021-01-28
811,7229,8040,185880,128001,57879,84.7,3.22949,2.2239,1.00559,128001,57879,2.2239,1.00559,2021-01-29
805,6202,7007,192887,128806,64081,87.9,3.35123,2.23789,1.11335,128806,64081,2.23789,1.11335,2021-01-30
474,3983,4457,197344,129280,68064,89.9,3.42867,2.24612,1.18255,129280,68064,2.24612,1.18255,2021-01-31
354,5319,5673,203017,129634,73383,89.9,3.52723,2.25227,1.27496,129634,73383,2.25227,1.27496,2021-02-01
637,5271,5908,208925,130271,78654,76.9,3.62988,2.26334,1.36654,130271,78654,2.26334,1.36654,2021-02-02
965,5524,6489,215414,131236,84178,78.6,3.74262,2.2801,1.46252,131236,84178,2.2801,1.46252,2021-02-03
989,5312,6301,221715,132225,89490,80.9,3.85209,2.29729,1.55481,132225,89490,2.29729,1.55481,2021-02-04
1185,6092,7277,228992,133410,95582,83.2,3.97853,2.31788,1.66065,133410,95582,2.31788,1.66065,2021-02-05
817,5317,6134,235126,134227,100899,85.5,4.0851,2.33207,1.75303,134227,100899,2.33207,1.75303,2021-02-06
387,4553,4940,240066,134614,105452,87.3,4.17093,2.33879,1.83213,134614,105452,2.33879,1.83213,2021-02-07
4508,5231,9739,249805,139122,110683,90.8,4.34013,2.41712,1.92302,139122,110683,2.41712,1.92302,2021-02-08
4580,4217,8797,258602,143702,114900,76.6,4.49297,2.49669,1.99628,143702,114900,2.49669,1.99628,2021-02-09
4850,3317,8167,266769,148552,118217,76.6,4.63487,2.58095,2.05391,148552,118217,2.58095,2.05391,2021-02-10
6467,511,6978,273747,155019,118728,78.6,4.7561,2.69331,2.06279,155019,118728,2.69331,2.06279,2021-02-11
6433,410,6843,280590,161452,119138,80.6,4.87499,2.80508,2.06991,161452,119138,2.80508,2.06991,2021-02-12
6197,410,6607,287197,167649,119548,73.9,4.98978,2.91275,2.07704,167649,119548,2.91275,2.07704,2021-02-13
5303,470,5773,292970,172952,120018,75.4,5.09008,3.00488,2.0852,172952,120018,3.00488,2.0852,2021-02-14
7443,631,8074,301044,180395,120649,77.5,5.23036,3.1342,2.09617,180395,120649,3.1342,2.09617,2021-02-15
7805,604,8409,309453,188200,121253,79.6,5.37646,3.2698,2.10666,188200,121253,3.2698,2.10666,2021-02-16
8308,872,9180,318633,196508,122125,82.0,5.53596,3.41415,2.12181,196508,122125,3.41415,2.12181,2021-02-17
9202,807,10009,328642,205710,122932,73.9,5.70985,3.57402,2.13583,205710,122932,3.57402,2.13583,2021-02-18
9208,829,10037,338679,214918,123761,68.6,5.88424,3.734,2.15023,214918,123761,3.734,2.15023,2021-02-19
8426,764,9190,347869,223344,124525,70.5,6.0439,3.8804,2.16351,223344,124525,3.8804,2.16351,2021-02-20
