delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
717,0,717,717,717,0,44.3,0.00715,0.00715,0.0,717,0,0.00715,0.0,2020-12-27
107,0,107,824,824,0,50.9,0.00822,0.00822,0.0,824,0,0.00822,0.0,2020-12-28
104,0,104,928,928,0,57.3,0.00925,0.00925,0.0,928,0,0.00925,0.0,2020-12-29
114,0,114,1042,1042,0,1.7,0.01039,0.01039,0.0,1042,0,0.01039,0.0,2020-12-30
713,0,713,1755,1755,0,2.2,0.0175,0.0175,0.0,1755,0,0.0175,0.0,2020-12-31
24,0,24,1779,1779,0,2.2,0.01774,0.01774,0.0,1779,0,0.01774,0.0,2021-01-01
199,0,199,1978,1978,0,2.5,0.01973,0.01973,0.0,1978,0,0.01973,0.0,2021-01-02
853,0,853,2831,2831,0,3.5,0.02823,0.02823,0.0,2831,0,0.02823,0.0,2021-01-03
6075,0,6075,8906,8906,0,11.1,0.08881,0.08881,0.0,8906,0,0.08881,0.0,2021-01-04
7817,0,7817,16723,16723,0,15.4,0.16677,0.16677,0.0,16723,0,0.16677,0.0,2021-01-05
7059,0,7059,23782,23782,0,21.8,0.23717,0.23717,0.0,23782,0,0.23717,0.0,2021-01-06
11714,0,11714,35496,35496,0,23.8,0.35398,0.35398,0.0,35496,0,0.35398,0.0,2021-01-07
12664,0,12664,48160,48160,0,32.4,0.48027,0.48027,0.0,48160,0,0.48027,0.0,2021-01-08
12409,0,12409,60569,60569,0,40.7,0.60402,0.60402,0.0,60569,0,0.60402,0.0,2021-01-09
10518,0,10518,71087,71087,0,47.8,0.70891,0.70891,0.0,71087,0,0.70891,0.0,2021-01-10
16036,0,16036,87123,87123,0,56.3,0.86883,0.86883,0.0,87123,0,0.86883,0.0,2021-01-11
19859,0,19859,106982,106982,0,46.0,1.06688,1.06688,0.0,106982,0,1.06688,0.0,2021-01-12
26216,0,26216,133198,133198,0,56.8,1.32831,1.32831,0.0,133198,0,1.32831,0.0,2021-01-13
26727,0,26727,159925,159925,0,67.9,1.59485,1.59485,0.0,159925,0,1.59485,0.0,2021-01-14
25134,0,25134,185059,185059,0,78.5,1.8455,1.8455,0.0,185059,0,1.8455,0.0,2021-01-15
15359,0,15359,200418,200418,0,85.1,1.99866,1.99866,0.0,200418,0,1.99866,0.0,2021-01-16
8091,201,8292,208710,208509,201,88.6,2.08136,2.07935,0.002,208509,201,2.07935,0.002,2021-01-17
8175,981,9156,217866,216684,1182,87.3,2.17266,2.16088,0.01179,216684,1182,2.16088,0.01179,2021-01-18
7628,474,8102,225968,224312,1656,90.5,2.25346,2.23695,0.01651,224312,1656,2.23695,0.01651,2021-01-19
5466,115,5581,231549,229778,1771,83.7,2.30912,2.29146,0.01766,229778,1771,2.29146,0.01766,2021-01-20
4652,689,5341,236890,234430,2460,77.5,2.36238,2.33785,0.02453,234430,2460,2.33785,0.02453,2021-01-21
3028,70,3098,239988,237458,2530,78.5,2.39327,2.36804,0.02523,237458,2530,2.36804,0.02523,2021-01-22
916,198,1114,241102,238374,2728,78.8,2.40438,2.37718,0.0272,238374,2728,2.37718,0.0272,2021-01-23
537,664,1201,242303,238911,3392,79.2,2.41636,2.38253,0.03383,238911,3392,2.38253,0.03383,2021-01-24
489,6535,7024,249327,239400,9927,81.5,2.48641,2.38741,0.099,239400,9927,2.38741,0.099,2021-01-25
336,8002,8338,257665,239736,17929,72.4,2.56956,2.39076,0.1788,239736,17929,2.39076,0.1788,2021-01-26
821,7224,8045,265710,240557,25153,70.0,2.64979,2.39895,0.25084,240557,25153,2.39895,0.25084,2021-01-27
780,11412,12192,277902,241337,36565,73.2,2.77137,2.40673,0.36464,241337,36565,2.40673,0.36464,2021-01-28
655,12783,13438,291340,241992,49348,76.8,2.90538,2.41326,0.49212,241992,49348,2.41326,0.49212,2021-01-29
174,12149,12323,303663,242166,61497,80.0,3.02827,2.41499,0.61328,242166,61497,2.41499,0.61328,2021-01-30
34,9712,9746,313409,242200,71209,82.6,3.12546,2.41533,0.71013,242200,71209,2.41533,0.71013,2021-01-31
305,15749,16054,329463,242505,86958,84.3,3.28556,2.41837,0.86719,242505,86958,2.41837,0.86719,2021-02-01
491,19357,19848,349311,242996,106315,73.6,3.48349,2.42327,1.06022,242996,106315,2.42327,1.06022,2021-02-02
1153,24424,25577,374888,244149,130739,78.9,3.73856,2.43477,1.30379,244149,130739,2.43477,1.30379,2021-02-03
1963,25681,27644,402532,246112,156420,84.8,4.01424,2.45435,1.55989,246112,156420,2.45435,1.55989,2021-02-04
2382,23205,25587,428119,248494,179625,90.2,4.26941,2.4781,1.79131,248494,179625,2.4781,1.79131,2021-02-05
1068,14183,15251,443370,249562,193808,93.4,4.4215,2.48875,1.93275,249562,193808,2.48875,1.93275,2021-02-06
340,6911,7251,450621,249902,200719,94.9,4.49381,2.49214,2.00167,249902,200719,2.49214,2.00167,2021-02-07
2139,7940,10079,460700,252041,208659,97.0,4.59432,2.51347,2.08085,252041,208659,2.51347,2.08085,2021-02-08
4113,8149,12262,472962,256154,216808,82.2,4.7166,2.55449,2.16211,256154,216808,2.55449,2.16211,2021-02-09
7572,6818,14390,487352,263726,223626,80.9,4.86011,2.63,2.2301,263726,223626,2.63,2.2301,2021-02-10
9698,7344,17042,504394,273424,230970,83.8,5.03006,2.72671,2.30334,273424,230970,2.72671,2.30334,2021-02-11
9028,4918,13946,518340,282452,235888,86.1,5.16913,2.81675,2.35239,282452,235888,2.81675,2.35239,2021-02-12
4937,1477,6414,524754,287389,237365,78.0,5.2331,2.86598,2.36712,287389,237365,2.86598,2.36712,2021-02-13
2944,634,3578,528332,290333,237999,78.5,5.26878,2.89534,2.37344,290333,237999,2.89534,2.37344,2021-02-14
8492,421,8913,537245,298825,238420,79.8,5.35766,2.98002,2.37764,298825,238420,2.98002,2.37764,2021-02-15
9084,455,9539,546784,307909,238875,81.2,5.45279,3.07061,2.38217,307909,238875,3.07061,2.38217,2021-02-16
10577,1389,11966,558750,318486,240264,83.0,5.57212,3.17609,2.39603,318486,240264,3.17609,2.39603,2021-02-17
13012,1027,14039,572789,331498,241291,74.0,5.71212,3.30586,2.40627,331498,241291,3.30586,2.40627,2021-02-18
13433,679,14112,586901,344931,241970,75.8,5.85285,3.43982,2.41304,344931,241970,3.43982,2.41304,2021-02-19
9132,299,9431,596332,354063,242269,69.4,5.94691,3.53088,2.41602,354063,242269,3.53088,2.41602,2021-02-20
5034,18,5052,601384,359097,242287,70.0,5.99729,3.58109,2.4162,359097,242287,3.58109,2.4162,2021-02-21
11583,308,11891,613275,370680,242595,71.4,6.11587,3.6966,2.41927,370680,242595,3.6966,2.41927,2021-02-22
11464,308,11772,625047,382144,242903,64.9,6.23326,3.81092,2.42234,382144,242903,3.81092,2.42234,2021-02-23
13744,924,14668,639715,395888,243827,66.4,6.37954,3.94798,2.43156,395888,243827,3.94798,2.43156,2021-02-24
13640,1547,15187,654902,409528,245374,68.0,6.53099,4.08401,2.44699,409528,245374,4.08401,2.44699,2021-02-25
16506,1848,18354,673256,426034,247222,69.9,6.71403,4.24861,2.46541,426034,247222,4.24861,2.46541,2021-02-26
13301,642,13943,687199,439335,247864,66.4,6.85307,4.38126,2.47182,439335,247864,4.38126,2.47182,2021-02-27
7668,216,7884,695083,447003,248080,64.6,6.9317,4.45773,2.47397,447003,248080,4.45773,2.47397,2021-02-28
17070,1705,18775,713858,464073,249785,66.4,7.11893,4.62796,2.49097,464073,249785,4.62796,2.49097,2021-03-01
19779,3034,22813,736671,483852,252819,62.3,7.34643,4.8252,2.52123,483852,252819,4.8252,2.52123,2021-03-02
19628,7273,26901,763572,503480,260092,64.4,7.6147,5.02094,2.59376,503480,260092,5.02094,2.59376,2021-03-03
20256,9127,29383,792955,523736,269219,66.9,7.90772,5.22294,2.68478,523736,269219,5.22294,2.68478,2021-03-04
20580,8400,28980,821935,544316,277619,69.3,8.19673,5.42818,2.76855,544316,277619,5.42818,2.76855,2021-03-05
16800,4513,21313,843248,561116,282132,71.1,8.40927,5.59571,2.81355,561116,282132,5.59571,2.81355,2021-03-06
9446,2559,12005,855253,570562,284691,72.2,8.52899,5.68991,2.83907,570562,284691,5.68991,2.83907,2021-03-07
22671,7063,29734,884987,593233,291754,74.7,8.82551,5.916,2.90951,593233,291754,5.916,2.90951,2021-03-08
25809,7422,33231,918218,619042,299176,70.6,9.15691,6.17338,2.98352,619042,299176,6.17338,2.98352,2021-03-09
25369,7851,33220,951438,644411,307027,67.5,9.48819,6.42637,3.06182,644411,307027,6.42637,3.06182,2021-03-10
26294,9897,36191,987629,670705,316924,70.0,9.8491,6.68859,3.16052,670705,316924,6.68859,3.16052,2021-03-11
25027,10205,35232,1022861,695732,327129,72.5,10.20045,6.93817,3.26229,695732,327129,6.93817,3.26229,2021-03-12
21061,6057,27118,1049979,716793,333186,72.3,10.47089,7.1482,3.32269,716793,333186,7.1482,3.32269,2021-03-13
11589,3286,14875,1064854,728382,336472,73.3,10.61923,7.26377,3.35546,728382,336472,7.26377,3.35546,2021-03-14
23050,8518,31568,1096422,751432,344990,69.9,10.93404,7.49364,3.4404,751432,344990,7.49364,3.4404,2021-03-15
16417,9056,25473,1121895,767849,354046,71.5,11.18807,7.65735,3.53071,767849,354046,7.65735,3.53071,2021-03-16
15242,10963,26205,1148100,783091,365009,73.2,11.4494,7.80935,3.64004,783091,365009,7.80935,3.64004,2021-03-17
16189,11227,27416,1175516,799280,376236,75.0,11.7228,7.9708,3.752,799280,376236,7.9708,3.752,2021-03-18
19208,13179,32387,1207903,818488,389415,77.0,12.04578,8.16235,3.88343,818488,389415,8.16235,3.88343,2021-03-19
22658,9851,32509,1240412,841146,399266,79.1,12.36998,8.38831,3.98167,841146,399266,8.38831,3.98167,2021-03-20
18314,5261,23575,1263987,859460,404527,80.6,12.60508,8.57094,4.03413,859460,404527,8.57094,4.03413,2021-03-21
29736,10523,40259,1304246,889196,415050,74.2,13.00656,8.86748,4.13908,889196,415050,8.86748,4.13908,2021-03-22
29635,12782,42417,1346663,918831,427832,76.6,13.42956,9.16302,4.26654,918831,427832,9.16302,4.26654,2021-03-23
31423,11840,43263,1389926,950254,439672,79.0,13.861,9.47638,4.38462,950254,439672,9.47638,4.38462,2021-03-24
30008,12509,42517,1432443,980262,452181,79.4,14.285,9.77564,4.50936,980262,452181,9.77564,4.50936,2021-03-25
28090,13015,41105,1473548,1008352,465196,81.7,14.69492,10.05576,4.63916,1008352,465196,10.05576,4.63916,2021-03-26
23675,8603,32278,1505826,1032027,473799,83.5,15.01681,10.29186,4.72495,1032027,473799,10.29186,4.72495,2021-03-27
14255,6163,20418,1526244,1046282,479962,84.6,15.22043,10.43402,4.78641,1046282,479962,10.43402,4.78641,2021-03-28
25181,14793,39974,1566218,1071463,494755,79.3,15.61907,10.68514,4.93393,1071463,494755,10.68514,4.93393,2021-03-29
24684,14752,39436,1605654,1096147,509507,81.3,16.01234,10.9313,5.08105,1096147,509507,10.9313,5.08105,2021-03-30
26722,15143,41865,1647519,1122869,524650,83.4,16.42984,11.19778,5.23206,1122869,524650,11.19778,5.23206,2021-03-31
26677,16004,42681,1690200,1149546,540654,85.6,16.85548,11.46382,5.39166,1149546,540654,11.46382,5.39166,2021-04-01
26638,14387,41025,1731225,1176184,555041,84.2,17.2646,11.72946,5.53513,1176184,555041,11.72946,5.53513,2021-04-02
26106,10057,36163,1767388,1202290,565098,77.9,17.62523,11.98981,5.63543,1202290,565098,11.98981,5.63543,2021-04-03
3718,3898,7616,1775004,1206008,568996,78.2,17.70118,12.02688,5.6743,1206008,568996,12.02688,5.6743,2021-04-04
19269,8109,27378,1802382,1225277,577105,79.4,17.97421,12.21904,5.75516,1225277,577105,12.21904,5.75516,2021-04-05
25042,17949,42991,1845373,1250319,595054,73.1,18.40293,12.46877,5.93416,1250319,595054,12.46877,5.93416,2021-04-06
34687,15772,50459,1895832,1285006,610826,75.1,18.90614,12.81469,6.09145,1285006,610826,12.81469,6.09145,2021-04-07
35688,16447,52135,1947967,1320694,627273,77.2,19.42605,13.17059,6.25546,1320694,627273,13.17059,6.25546,2021-04-08
36106,15951,52057,2000024,1356800,643224,79.2,19.94519,13.53065,6.41453,1356800,643224,13.53065,6.41453,2021-04-09
40139,11794,51933,2051957,1396939,655018,81.3,20.46309,13.93094,6.53215,1396939,655018,13.93094,6.53215,2021-04-10
24744,7386,32130,2084087,1421683,662404,82.5,20.7835,14.1777,6.60581,1421683,662404,14.1777,6.60581,2021-04-11
32856,14307,47163,2131250,1454539,676711,84.4,21.25384,14.50535,6.74848,1454539,676711,14.50535,6.74848,2021-04-12
33784,14065,47849,2179099,1488323,690776,86.2,21.73101,14.84226,6.88875,1488323,690776,14.84226,6.88875,2021-04-13
34072,12957,47029,2226128,1522395,703733,79.8,22.2,15.18204,7.01796,1522395,703733,15.18204,7.01796,2021-04-14
35421,13799,49220,2275348,1557816,717532,80.8,22.69085,15.53528,7.15557,1557816,717532,15.53528,7.15557,2021-04-15
39257,14284,53541,2328889,1597073,731816,82.7,23.22478,15.92677,7.29802,1597073,731816,15.92677,7.29802,2021-04-16
37259,10762,48021,2376910,1634332,742578,84.4,23.70367,16.29833,7.40534,1634332,742578,16.29833,7.40534,2021-04-17
31057,5227,36284,2413194,1665389,747805,85.7,24.06551,16.60805,7.45747,1665389,747805,16.60805,7.45747,2021-04-18
50665,9409,60074,2473268,1716054,757214,85.7,24.6646,17.1133,7.5513,1716054,757214,17.1133,7.5513,2021-04-19
57244,10308,67552,2540820,1773298,767522,88.0,25.33826,17.68417,7.65409,1773298,767522,17.68417,7.65409,2021-04-20
