delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
210,1,210,210,210,1,105.0,0.01388,0.01388,7e-05,210,1,0.01388,7e-05,2020-12-27
0,0,0,210,210,1,105.0,0.01388,0.01388,7e-05,210,1,0.01388,7e-05,2020-12-28
0,0,0,210,210,1,105.0,0.01388,0.01388,7e-05,210,1,0.01388,7e-05,2020-12-29
17,0,17,227,227,1,2.5,0.01501,0.01501,7e-05,227,1,0.01501,7e-05,2020-12-30
394,0,394,621,621,1,6.9,0.04105,0.04105,7e-05,621,1,0.04105,7e-05,2020-12-31
0,0,0,621,621,1,6.9,0.04105,0.04105,7e-05,621,1,0.04105,7e-05,2021-01-01
459,1,459,1080,1080,2,12.0,0.0714,0.0714,0.00013,1080,2,0.0714,0.00013,2021-01-02
916,1,916,1996,1996,3,22.2,0.13195,0.13195,0.0002,1996,3,0.13195,0.0002,2021-01-03
1530,1,1530,3526,3526,4,39.3,0.2331,0.2331,0.00026,3526,4,0.2331,0.00026,2021-01-04
1592,3,1592,5118,5118,7,32.4,0.33834,0.33834,0.00046,5118,7,0.33834,0.00046,2021-01-05
2217,3,2217,7335,7335,10,46.4,0.4849,0.4849,0.00066,7335,10,0.4849,0.00066,2021-01-06
1825,2,1825,9160,9160,12,51.6,0.60555,0.60555,0.00079,9160,12,0.60555,0.00079,2021-01-07
1586,0,1586,10746,10746,12,60.5,0.7104,0.7104,0.00079,10746,12,0.7104,0.00079,2021-01-08
1724,2,1724,12470,12470,14,70.3,0.82437,0.82437,0.00093,12470,14,0.82437,0.00093,2021-01-09
1746,1,1746,14216,14216,15,80.1,0.93979,0.93979,0.00099,14216,15,0.93979,0.00099,2021-01-10
1183,2,1183,15399,15399,17,86.8,1.018,1.018,0.00112,15399,17,1.018,0.00112,2021-01-11
1227,0,1227,16626,16626,17,60.5,1.09911,1.09911,0.00112,16626,17,1.09911,0.00112,2021-01-12
2030,9,2030,18656,18656,26,64.3,1.23331,1.23331,0.00172,18656,26,1.23331,0.00172,2021-01-13
1399,5,1399,20055,20055,31,69.2,1.3258,1.3258,0.00205,20055,31,1.3258,0.00205,2021-01-14
