delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
144,0,144,144,144,0,99.3,0.02699,0.02699,0.0,144,0,0.02699,0.0,2020-12-27
0,0,0,144,144,0,99.3,0.02699,0.02699,0.0,144,0,0.02699,0.0,2020-12-28
0,0,0,144,144,0,99.3,0.02699,0.02699,0.0,144,0,0.02699,0.0,2020-12-29
389,0,389,533,533,0,367.6,0.09992,0.09992,0.0,533,0,0.09992,0.0,2020-12-30
929,0,929,1462,1462,0,24.4,0.27407,0.27407,0.0,1462,0,0.27407,0.0,2020-12-31
6,0,6,1468,1468,0,24.5,0.2752,0.2752,0.0,1468,0,0.2752,0.0,2021-01-01
91,0,91,1559,1559,0,26.0,0.29225,0.29225,0.0,1559,0,0.29225,0.0,2021-01-02
41,0,41,1600,1600,0,26.7,0.29994,0.29994,0.0,1600,0,0.29994,0.0,2021-01-03
510,0,510,2110,2110,0,35.2,0.39555,0.39555,0.0,2110,0,0.39555,0.0,2021-01-04
830,1,830,2940,2940,1,49.0,0.55114,0.55114,0.00019,2940,1,0.55114,0.00019,2021-01-05
59,0,59,2999,2999,1,50.0,0.5622,0.5622,0.00019,2999,1,0.5622,0.00019,2021-01-06
920,0,920,3919,3919,1,30.6,0.73467,0.73467,0.00019,3919,1,0.73467,0.00019,2021-01-07
1525,0,1525,5444,5444,1,42.5,1.02055,1.02055,0.00019,5444,1,1.02055,0.00019,2021-01-08
612,0,612,6056,6056,1,47.2,1.13528,1.13528,0.00019,6056,1,1.13528,0.00019,2021-01-09
2,0,2,6058,6058,1,47.3,1.13565,1.13565,0.00019,6058,1,1.13565,0.00019,2021-01-10
1590,0,1590,7648,7648,1,38.9,1.43372,1.43372,0.00019,7648,1,1.43372,0.00019,2021-01-11
1709,0,1709,9357,9357,1,47.6,1.75409,1.75409,0.00019,9357,1,1.75409,0.00019,2021-01-12
1719,0,1719,11076,11076,1,56.4,2.07634,2.07634,0.00019,11076,1,2.07634,0.00019,2021-01-13
1952,0,1952,13028,13028,1,66.3,2.44227,2.44227,0.00019,13028,1,2.44227,0.00019,2021-01-14
3284,1,3284,16312,16312,2,83.0,3.05789,3.05789,0.00037,16312,2,3.05789,0.00037,2021-01-15
2840,0,2840,19152,19152,2,97.5,3.59029,3.59029,0.00037,19152,2,3.59029,0.00037,2021-01-16
2318,11,2329,21481,21470,13,109.3,4.02689,4.02483,0.00244,21470,13,4.02483,0.00244,2021-01-17
1767,6,1772,23253,23237,19,118.4,4.35907,4.35607,0.00356,23237,19,4.35607,0.00356,2021-01-18
723,130,853,24106,23960,149,122.7,4.51898,4.49161,0.02793,23960,149,4.49161,0.02793,2021-01-19
410,209,619,24725,24370,358,125.9,4.63502,4.56847,0.06711,24370,358,4.56847,0.06711,2021-01-20
140,829,969,25694,24510,1187,111.0,4.81667,4.59471,0.22252,24510,1187,4.59471,0.22252,2021-01-21
124,124,248,25942,24634,1311,112.0,4.86316,4.61796,0.24576,24634,1311,4.61796,0.24576,2021-01-22
0,197,197,26139,24634,1508,112.9,4.90009,4.61796,0.28269,24634,1508,4.61796,0.28269,2021-01-23
0,12,12,26151,24634,1520,112.9,4.90234,4.61796,0.28494,24634,1520,4.61796,0.28494,2021-01-24
3,488,491,26642,24637,2008,115.1,4.99439,4.61852,0.37643,24637,2008,4.61852,0.37643,2021-01-25
1,809,810,27452,24638,2817,84.4,5.14623,4.61871,0.52808,24638,2817,4.61871,0.52808,2021-01-26
2,83,85,27537,24640,2900,84.7,5.16216,4.61908,0.54364,24640,2900,4.61908,0.54364,2021-01-27
9,862,871,28408,24649,3762,87.4,5.32544,4.62077,0.70524,24649,3762,4.62077,0.70524,2021-01-28
24,1488,1512,29920,24673,5250,92.0,5.60889,4.62527,0.98418,24673,5250,4.62527,0.98418,2021-01-29
4,494,498,30418,24677,5744,93.6,5.70225,4.62602,1.07679,24677,5744,4.62602,1.07679,2021-01-30
0,0,0,30418,24677,5744,93.6,5.70225,4.62602,1.07679,24677,5744,4.62602,1.07679,2021-01-31
12,1449,1460,31878,24689,7193,96.3,5.97594,4.62827,1.34842,24689,7193,4.62827,1.34842,2021-02-01
8,1744,1752,33630,24697,8937,81.4,6.30438,4.62977,1.67536,24697,8937,4.62977,1.67536,2021-02-02
5,1501,1506,35136,24702,10438,85.1,6.5867,4.63071,1.95674,24702,10438,4.63071,1.95674,2021-02-03
8,1956,1964,37100,24710,12394,89.8,6.95487,4.63221,2.32341,24710,12394,4.63221,2.32341,2021-02-04
8,3193,3201,40301,24718,15587,97.6,7.55494,4.63371,2.92198,24718,15587,4.63371,2.92198,2021-02-05
19,2613,2632,42933,24737,18200,103.9,8.04834,4.63727,3.41182,24737,18200,4.63727,3.41182,2021-02-06
14,2350,2364,45297,24751,20550,109.7,8.49151,4.63989,3.85236,24751,20550,4.63989,3.85236,2021-02-07
1,1,2,45299,24752,20551,109.7,8.49188,4.64008,3.85255,24752,20551,4.64008,3.85255,2021-02-08
1,316,317,45616,24753,20867,105.1,8.55131,4.64027,3.91179,24753,20867,4.64027,3.91179,2021-02-09
26,1611,1636,47252,24779,22478,98.3,8.858,4.64514,4.21379,24779,22478,4.64514,4.21379,2021-02-10
239,856,1094,48346,25018,23334,100.5,9.06308,4.68995,4.37426,25018,23334,4.68995,4.37426,2021-02-11
482,266,730,49076,25500,23600,102.1,9.19993,4.7803,4.42412,25500,23600,4.7803,4.42412,2021-02-12
312,8,318,49394,25812,23608,95.9,9.25954,4.83879,4.42562,25812,23608,4.83879,4.42562,2021-02-13
297,2,297,49691,26109,23610,96.5,9.31522,4.89447,4.426,26109,23610,4.89447,4.426,2021-02-14
26,49,72,49763,26135,23659,96.7,9.32871,4.89934,4.43518,26135,23659,4.89934,4.43518,2021-02-15
530,1,530,50293,26665,23660,97.7,9.42807,4.9987,4.43537,26665,23660,4.9987,4.43537,2021-02-16
139,17,156,50449,26804,23677,98.0,9.45731,5.02475,4.43856,26804,23677,5.02475,4.43856,2021-02-17
1832,29,1839,52288,28636,23706,93.1,9.80206,5.36819,4.44399,28636,23706,5.36819,4.44399,2021-02-18
2241,60,2252,54540,30877,23766,97.1,10.22422,5.78829,4.45524,30877,23766,5.78829,4.45524,2021-02-19
1784,49,1802,56342,32661,23815,93.3,10.56203,6.12272,4.46443,32661,23815,6.12272,4.46443,2021-02-20
0,0,0,56342,32661,23815,93.3,10.56203,6.12272,4.46443,32661,23815,6.12272,4.46443,2021-02-21
514,30,526,56868,33175,23845,94.2,10.66064,6.21908,4.47005,33175,23845,6.21908,4.47005,2021-02-22
763,9,769,57637,33938,23854,87.0,10.8048,6.36211,4.47174,33938,23854,6.36211,4.47174,2021-02-23
1356,51,1368,59005,35294,23905,89.1,11.06125,6.61631,4.4813,35294,23905,6.61631,4.4813,2021-02-24
1497,11,1498,60503,36791,23916,91.4,11.34207,6.89695,4.48336,36791,23916,6.89695,4.48336,2021-02-25
1498,58,1528,62031,38289,23974,93.7,11.62851,7.17777,4.49423,38289,23974,7.17777,4.49423,2021-02-26
2448,47,2458,64489,40737,24021,92.4,12.08929,7.63667,4.50305,40737,24021,7.63667,4.50305,2021-02-27
0,0,0,64489,40737,24021,89.7,12.08929,7.63667,4.50305,40737,24021,7.63667,4.50305,2021-02-28
924,36,925,65414,41661,24057,91.0,12.2627,7.80989,4.50979,41661,24057,7.80989,4.50979,2021-03-01
694,22,696,66110,42355,24079,85.0,12.39317,7.93999,4.51392,42355,24079,7.93999,4.51392,2021-03-02
1168,37,1181,67291,43523,24116,86.5,12.61456,8.15895,4.52085,43523,24116,8.15895,4.52085,2021-03-03
1489,286,1718,69009,45012,24402,88.7,12.93662,8.43808,4.57447,45012,24402,8.43808,4.57447,2021-03-04
1400,462,1843,70852,46412,24864,91.1,13.28212,8.70053,4.66108,46412,24864,8.70053,4.66108,2021-03-05
3762,299,3973,74825,50174,25163,96.2,14.02691,9.40576,4.71713,50174,25163,9.40576,4.71713,2021-03-06
9,106,115,74940,50183,25269,96.4,14.04847,9.40745,4.737,50183,25269,9.40745,4.737,2021-03-07
1183,49,1210,76150,51366,25318,97.9,14.2753,9.62922,4.74618,51366,25318,9.62922,4.74618,2021-03-08
1192,30,1194,77344,52558,25348,92.5,14.49913,9.85267,4.75181,52558,25348,9.85267,4.75181,2021-03-09
1126,196,1270,78614,53684,25544,88.2,14.73721,10.06376,4.78855,53684,25544,10.06376,4.78855,2021-03-10
1152,593,1691,80305,54836,26137,90.1,15.0542,10.27971,4.89972,54836,26137,10.27971,4.89972,2021-03-11
1253,445,1666,81971,56089,26582,92.0,15.36652,10.5146,4.98314,56089,26582,10.5146,4.98314,2021-03-12
2785,160,2886,84857,58874,26742,93.0,15.90754,11.03669,5.01313,58874,26742,11.03669,5.01313,2021-03-13
25,744,758,85615,58899,27486,93.9,16.04963,11.04137,5.1526,58899,27486,11.04137,5.1526,2021-03-14
712,498,1194,86809,59611,27984,89.4,16.27346,11.17485,5.24596,59611,27984,11.17485,5.24596,2021-03-15
124,1174,1290,88099,59735,29158,90.8,16.51529,11.19809,5.46604,59735,29158,11.19809,5.46604,2021-03-16
580,36,582,88681,60315,29194,91.4,16.62439,11.30682,5.47279,60315,29194,11.30682,5.47279,2021-03-17
226,1086,1302,89983,60541,30280,92.7,16.86847,11.34919,5.67638,60541,30280,11.34919,5.67638,2021-03-18
800,1171,1920,91903,61341,31451,94.7,17.2284,11.49916,5.89589,61341,31451,11.49916,5.89589,2021-03-19
1134,651,1759,93662,62475,32102,96.5,17.55815,11.71174,6.01793,62475,32102,11.71174,6.01793,2021-03-20
15,755,769,94431,62490,32857,97.3,17.70231,11.71455,6.15947,62490,32857,11.71455,6.15947,2021-03-21
1141,52,1162,95593,63631,32909,89.4,17.92014,11.92845,6.16922,63631,32909,11.92845,6.16922,2021-03-22
1554,39,1555,97148,65185,32948,90.9,18.21164,12.21977,6.17653,65185,32948,12.21977,6.17653,2021-03-23
2052,68,2065,99213,67237,33016,92.8,18.59875,12.60444,6.18927,67237,33016,12.60444,6.18927,2021-03-24
1727,508,2170,101383,68964,33524,92.8,19.00555,12.92819,6.2845,68964,33524,12.92819,6.2845,2021-03-25
525,1157,1661,103044,69489,34681,94.3,19.31692,13.02661,6.5014,69489,34681,13.02661,6.5014,2021-03-26
1545,1574,3053,106097,71034,36255,97.1,19.88925,13.31624,6.79647,71034,36255,13.31624,6.79647,2021-03-27
11,558,569,106666,71045,36813,97.7,19.99591,13.3183,6.90107,71045,36813,13.3183,6.90107,2021-03-28
