delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
509,0,509,509,509,0,100.8,0.01288,0.01288,0.0,509,0,0.01288,0.0,2020-12-27
0,0,0,509,509,0,100.8,0.01288,0.01288,0.0,509,0,0.01288,0.0,2020-12-28
0,0,0,509,509,0,100.8,0.01288,0.01288,0.0,509,0,0.01288,0.0,2020-12-29
1,0,1,510,510,0,2.4,0.0129,0.0129,0.0,510,0,0.0129,0.0,2020-12-30
1634,0,1634,2144,2144,0,8.3,0.05423,0.05423,0.0,2144,0,0.05423,0.0,2020-12-31
147,0,147,2291,2291,0,8.9,0.05795,0.05795,0.0,2291,0,0.05795,0.0,2021-01-01
2948,0,2948,5239,5239,0,20.3,0.13252,0.13252,0.0,5239,0,0.13252,0.0,2021-01-02
2007,0,2007,7246,7246,0,28.0,0.18329,0.18329,0.0,7246,0,0.18329,0.0,2021-01-03
4505,0,4505,11751,11751,0,45.4,0.29724,0.29724,0.0,11751,0,0.29724,0.0,2021-01-04
5104,0,5104,16855,16855,0,53.2,0.42635,0.42635,0.0,16855,0,0.42635,0.0,2021-01-05
3945,0,3945,20800,20800,0,65.6,0.52614,0.52614,0.0,20800,0,0.52614,0.0,2021-01-06
5716,0,5716,26516,26516,0,54.9,0.67073,0.67073,0.0,26516,0,0.67073,0.0,2021-01-07
5591,0,5591,32107,32107,0,66.5,0.81216,0.81216,0.0,32107,0,0.81216,0.0,2021-01-08
4885,0,4885,36992,36992,0,76.6,0.93572,0.93572,0.0,36992,0,0.93572,0.0,2021-01-09
2348,0,2348,39340,39340,0,81.5,0.99512,0.99512,0.0,39340,0,0.99512,0.0,2021-01-10
3753,0,3753,43093,43093,0,60.1,1.09005,1.09005,0.0,43093,0,1.09005,0.0,2021-01-11
4212,0,4212,47305,47305,0,63.4,1.19659,1.19659,0.0,47305,0,1.19659,0.0,2021-01-12
4541,0,4541,51846,51846,0,69.5,1.31146,1.31146,0.0,51846,0,1.31146,0.0,2021-01-13
4069,0,4069,55915,55915,0,74.9,1.41439,1.41439,0.0,55915,0,1.41439,0.0,2021-01-14
4552,0,4552,60467,60467,0,81.0,1.52953,1.52953,0.0,60467,0,1.52953,0.0,2021-01-15
2507,0,2507,62974,62974,0,84.4,1.59295,1.59295,0.0,62974,0,1.59295,0.0,2021-01-16
1239,69,1308,64282,64213,69,86.2,1.62603,1.62429,0.00175,64213,69,1.62429,0.00175,2021-01-17
1496,349,1845,66127,65709,418,72.7,1.6727,1.66213,0.01057,65709,418,1.66213,0.01057,2021-01-18
1211,10,1221,67348,66920,428,72.2,1.70359,1.69276,0.01083,66920,428,1.69276,0.01083,2021-01-19
1538,8,1546,68894,68458,436,73.8,1.74269,1.73167,0.01103,68458,436,1.73167,0.01103,2021-01-20
1271,861,2132,71026,69729,1297,76.1,1.79662,1.76382,0.03281,69729,1297,1.76382,0.03281,2021-01-21
991,418,1409,72435,70720,1715,77.6,1.83226,1.78888,0.04338,70720,1715,1.78888,0.04338,2021-01-22
886,2154,3040,75475,71606,3869,80.9,1.90916,1.81129,0.09787,71606,3869,1.81129,0.09787,2021-01-23
153,1516,1669,77144,71759,5385,82.7,1.95138,1.81516,0.13622,71759,5385,1.81516,0.13622,2021-01-24
423,3400,3823,80967,72182,8785,77.1,2.04808,1.82586,0.22222,72182,8785,1.82586,0.22222,2021-01-25
571,4789,5360,86327,72753,13574,77.0,2.18367,1.84031,0.34336,72753,13574,1.84031,0.34336,2021-01-26
611,3967,4578,90905,73364,17541,75.6,2.29947,1.85576,0.4437,73364,17541,1.85576,0.4437,2021-01-27
472,5000,5472,96377,73836,22541,80.2,2.43788,1.8677,0.57018,73836,22541,1.8677,0.57018,2021-01-28
436,5757,6193,102570,74272,28298,85.3,2.59454,1.87873,0.71581,74272,28298,1.87873,0.71581,2021-01-29
411,5117,5528,108098,74683,33415,89.9,2.73437,1.88913,0.84524,74683,33415,1.88913,0.84524,2021-01-30
73,1738,1811,109909,74756,35153,91.4,2.78018,1.89097,0.88921,74756,35153,1.89097,0.88921,2021-01-31
375,3590,3965,113874,75131,38743,82.2,2.88048,1.90046,0.98002,75131,38743,1.90046,0.98002,2021-02-01
593,3749,4342,118216,75724,42492,78.7,2.99031,1.91546,1.07485,75724,42492,1.91546,1.07485,2021-02-02
730,4306,5036,123252,76454,46798,82.0,3.1177,1.93393,1.18377,76454,46798,1.93393,1.18377,2021-02-03
1167,4731,5898,129150,77621,51529,85.9,3.26689,1.96345,1.30344,77621,51529,1.96345,1.30344,2021-02-04
1332,4302,5634,134784,78953,55831,89.7,3.4094,1.99714,1.41226,78953,55831,1.99714,1.41226,2021-02-05
1589,2956,4545,139329,80542,58787,92.7,3.52437,2.03733,1.48703,80542,58787,2.03733,1.48703,2021-02-06
253,1325,1578,140907,80795,60112,93.8,3.56428,2.04373,1.52055,80795,60112,2.04373,1.52055,2021-02-07
1597,2395,3992,144899,82392,62507,96.4,3.66526,2.08413,1.58113,82392,62507,2.08413,1.58113,2021-02-08
2168,1672,3840,148739,84560,64179,74.0,3.7624,2.13897,1.62343,84560,64179,2.13897,1.62343,2021-02-09
2133,1510,3643,152382,86693,65689,75.8,3.85455,2.19292,1.66162,86693,65689,2.19292,1.66162,2021-02-10
2422,1277,3699,156081,89115,66966,77.7,3.94811,2.25419,1.69392,89115,66966,2.25419,1.69392,2021-02-11
3010,1091,4101,160182,92125,68057,79.7,4.05185,2.33033,1.72152,92125,68057,2.33033,1.72152,2021-02-12
3031,695,3726,163908,95156,68752,71.6,4.1461,2.407,1.7391,95156,68752,2.407,1.7391,2021-02-13
663,124,787,164695,95819,68876,72.0,4.16601,2.42377,1.74224,95819,68876,2.42377,1.74224,2021-02-14
