delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
91,0,91,91,91,0,13.3,0.00187,0.00187,0.0,91,0,0.00187,0.0,2020-12-27
211,0,211,302,302,0,44.1,0.00619,0.00619,0.0,302,0,0.00619,0.0,2020-12-28
236,0,236,538,538,0,78.5,0.01104,0.01104,0.0,538,0,0.01104,0.0,2020-12-29
174,0,174,712,712,0,103.9,0.0146,0.0146,0.0,712,0,0.0146,0.0,2020-12-30
879,0,879,1591,1591,0,3.4,0.03263,0.03263,0.0,1591,0,0.03263,0.0,2020-12-31
815,0,815,2406,2406,0,5.2,0.04935,0.04935,0.0,2406,0,0.04935,0.0,2021-01-01
4879,0,4879,7285,7285,0,15.7,0.14943,0.14943,0.0,7285,0,0.14943,0.0,2021-01-02
4703,0,4703,11988,11988,0,25.8,0.24589,0.24589,0.0,11988,0,0.24589,0.0,2021-01-03
8392,0,8392,20380,20380,0,43.8,0.41803,0.41803,0.0,20380,0,0.41803,0.0,2021-01-04
10535,0,10535,30915,30915,0,39.3,0.63412,0.63412,0.0,30915,0,0.63412,0.0,2021-01-05
6479,0,6479,37394,37394,0,47.5,0.76701,0.76701,0.0,37394,0,0.76701,0.0,2021-01-06
9180,0,9180,46574,46574,0,59.2,0.95531,0.95531,0.0,46574,0,0.95531,0.0,2021-01-07
8333,0,8333,54907,54907,0,69.8,1.12623,1.12623,0.0,54907,0,1.12623,0.0,2021-01-08
7326,0,7326,62233,62233,0,79.1,1.2765,1.2765,0.0,62233,0,1.2765,0.0,2021-01-09
3621,0,3621,65854,65854,0,83.7,1.35077,1.35077,0.0,65854,0,1.35077,0.0,2021-01-10
5911,0,5911,71765,71765,0,91.2,1.47201,1.47201,0.0,71765,0,1.47201,0.0,2021-01-11
4545,0,4545,76310,76310,0,61.3,1.56524,1.56524,0.0,76310,0,1.56524,0.0,2021-01-12
5266,0,5266,81576,81576,0,61.8,1.67325,1.67325,0.0,81576,0,1.67325,0.0,2021-01-13
5256,0,5256,86832,86832,0,65.7,1.78106,1.78106,0.0,86832,0,1.78106,0.0,2021-01-14
5085,0,5085,91917,91917,0,69.6,1.88536,1.88536,0.0,91917,0,1.88536,0.0,2021-01-15
2778,0,2778,94695,94695,0,71.7,1.94235,1.94235,0.0,94695,0,1.94235,0.0,2021-01-16
1245,57,1302,95997,95940,57,72.7,1.96905,1.96788,0.00117,95940,57,1.96788,0.00117,2021-01-17
1495,151,1646,97643,97435,208,73.9,2.00281,1.99855,0.00427,97435,208,1.99855,0.00427,2021-01-18
1095,193,1288,98931,98530,401,59.2,2.02923,2.02101,0.00823,98530,401,2.02101,0.00823,2021-01-19
573,249,822,99753,99103,650,59.7,2.04609,2.03276,0.01333,99103,650,2.03276,0.01333,2021-01-20
500,860,1360,101113,99603,1510,59.6,2.07399,2.04302,0.03097,99603,1510,2.04302,0.03097,2021-01-21
