delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
615,0,615,615,615,0,99.2,0.01666,0.01666,0.0,615,0,0.01666,0.0,2020-12-27
0,0,0,615,615,0,99.2,0.01666,0.01666,0.0,615,0,0.01666,0.0,2020-12-28
0,0,0,615,615,0,99.2,0.01666,0.01666,0.0,615,0,0.01666,0.0,2020-12-29
328,0,328,943,943,0,6.2,0.02554,0.02554,0.0,943,0,0.02554,0.0,2020-12-30
798,0,798,1741,1741,0,6.2,0.04715,0.04715,0.0,1741,0,0.04715,0.0,2020-12-31
2325,0,2325,4066,4066,0,14.6,0.11011,0.11011,0.0,4066,0,0.11011,0.0,2021-01-01
3454,0,3454,7520,7520,0,26.9,0.20365,0.20365,0.0,7520,0,0.20365,0.0,2021-01-02
3290,0,3290,10810,10810,0,38.7,0.29275,0.29275,0.0,10810,0,0.29275,0.0,2021-01-03
5002,0,5002,15812,15812,0,56.6,0.42821,0.42821,0.0,15812,0,0.42821,0.0,2021-01-04
5193,0,5193,21005,21005,0,66.0,0.56885,0.56885,0.0,21005,0,0.56885,0.0,2021-01-05
4467,0,4467,25472,25472,0,80.1,0.68982,0.68982,0.0,25472,0,0.68982,0.0,2021-01-06
5932,0,5932,31404,31404,0,60.1,0.85047,0.85047,0.0,31404,0,0.85047,0.0,2021-01-07
5855,0,5855,37259,37259,0,71.2,1.00903,1.00903,0.0,37259,0,1.00903,0.0,2021-01-08
4419,0,4419,41678,41678,0,79.7,1.1287,1.1287,0.0,41678,0,1.1287,0.0,2021-01-09
2947,0,2947,44625,44625,0,85.3,1.20851,1.20851,0.0,44625,0,1.20851,0.0,2021-01-10
4996,0,4996,49621,49621,0,94.9,1.34381,1.34381,0.0,49621,0,1.34381,0.0,2021-01-11
3508,0,3508,53129,53129,0,65.9,1.43881,1.43881,0.0,53129,0,1.43881,0.0,2021-01-12
3998,0,3998,57127,57127,0,66.5,1.54709,1.54709,0.0,57127,0,1.54709,0.0,2021-01-13
3219,0,3219,60346,60346,0,70.3,1.63426,1.63426,0.0,60346,0,1.63426,0.0,2021-01-14
3819,0,3819,64165,64165,0,74.7,1.73769,1.73769,0.0,64165,0,1.73769,0.0,2021-01-15
3213,0,3213,67378,67378,0,78.5,1.8247,1.8247,0.0,67378,0,1.8247,0.0,2021-01-16
1987,514,2501,69879,69365,514,81.4,1.89243,1.87851,0.01392,69365,514,1.87851,0.01392,2021-01-17
972,98,1070,70949,70337,612,78.4,1.92141,1.90483,0.01657,70337,612,1.90483,0.01657,2021-01-18
1064,0,1064,72013,71401,612,79.5,1.95022,1.93365,0.01657,71401,612,1.93365,0.01657,2021-01-19
1021,248,1269,73282,72422,860,75.1,1.98459,1.9613,0.02329,72422,860,1.9613,0.02329,2021-01-20
858,722,1580,74862,73280,1582,71.6,2.02738,1.98453,0.04284,73280,1582,1.98453,0.04284,2021-01-21
525,2338,2863,77725,73805,3920,74.3,2.10491,1.99875,0.10616,73805,3920,1.99875,0.10616,2021-01-22
634,3327,3961,81686,74439,7247,78.1,2.21218,2.01592,0.19626,74439,7247,2.01592,0.19626,2021-01-23
198,3149,3347,85033,74637,10396,81.3,2.30282,2.02128,0.28154,74637,10396,2.02128,0.28154,2021-01-24
