delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
880,0,880,880,880,0,100.6,0.01804,0.01804,0.0,880,0,0.01804,0.0,2020-12-27
0,0,0,880,880,0,100.6,0.01804,0.01804,0.0,880,0,0.01804,0.0,2020-12-28
0,0,0,880,880,0,100.6,0.01804,0.01804,0.0,880,0,0.01804,0.0,2020-12-29
699,0,699,1579,1579,0,6.0,0.03236,0.03236,0.0,1579,0,0.03236,0.0,2020-12-30
3219,0,3219,4798,4798,0,12.3,0.09834,0.09834,0.0,4798,0,0.09834,0.0,2020-12-31
1528,0,1528,6326,6326,0,16.3,0.12965,0.12965,0.0,6326,0,0.12965,0.0,2021-01-01
5742,0,5742,12068,12068,0,31.0,0.24734,0.24734,0.0,12068,0,0.24734,0.0,2021-01-02
5157,0,5157,17225,17225,0,44.3,0.35303,0.35303,0.0,17225,0,0.35303,0.0,2021-01-03
6735,0,6735,23960,23960,0,61.6,0.49107,0.49107,0.0,23960,0,0.49107,0.0,2021-01-04
7330,0,7330,31290,31290,0,71.5,0.6413,0.6413,0.0,31290,0,0.6413,0.0,2021-01-05
8132,0,8132,39422,39422,0,90.1,0.80797,0.80797,0.0,39422,0,0.80797,0.0,2021-01-06
8358,0,8358,47780,47780,0,61.3,0.97927,0.97927,0.0,47780,0,0.97927,0.0,2021-01-07
9403,0,9403,57183,57183,0,73.4,1.17199,1.17199,0.0,57183,0,1.17199,0.0,2021-01-08
7927,0,7927,65110,65110,0,83.6,1.33446,1.33446,0.0,65110,0,1.33446,0.0,2021-01-09
5032,0,5032,70142,70142,0,90.0,1.43759,1.43759,0.0,70142,0,1.43759,0.0,2021-01-10
7238,0,7238,77380,77380,0,99.3,1.58594,1.58594,0.0,77380,0,1.58594,0.0,2021-01-11
5230,0,5230,82610,82610,0,70.7,1.69313,1.69313,0.0,82610,0,1.69313,0.0,2021-01-12
5986,0,5986,88596,88596,0,71.0,1.81581,1.81581,0.0,88596,0,1.81581,0.0,2021-01-13
7061,0,7061,95657,95657,0,76.7,1.96053,1.96053,0.0,95657,0,1.96053,0.0,2021-01-14
5864,0,5864,101521,101521,0,81.4,2.08072,2.08072,0.0,101521,0,2.08072,0.0,2021-01-15
4606,0,4606,106127,106127,0,85.1,2.17512,2.17512,0.0,106127,0,2.17512,0.0,2021-01-16
1584,349,1933,108060,107711,349,86.7,2.21474,2.20758,0.00715,107711,349,2.20758,0.00715,2021-01-17
2563,199,2762,110822,110274,548,88.9,2.27135,2.26011,0.01123,110274,548,2.26011,0.01123,2021-01-18
1159,150,1309,112131,111433,698,89.9,2.29817,2.28387,0.01431,111433,698,2.28387,0.01431,2021-01-19
386,652,1038,113169,111819,1350,85.9,2.31945,2.29178,0.02767,111819,1350,2.29178,0.02767,2021-01-20
21,2270,2291,115460,111840,3620,78.6,2.3664,2.29221,0.07419,111840,3620,2.29221,0.07419,2021-01-21
25,1055,1080,116540,111865,4675,79.3,2.38854,2.29272,0.09582,111865,4675,2.29272,0.09582,2021-01-22
32,4018,4050,120590,111897,8693,82.1,2.47155,2.29338,0.17817,111897,8693,2.29338,0.17817,2021-01-23
28,4089,4117,124707,111925,12782,84.9,2.55593,2.29395,0.26197,111925,12782,2.29395,0.26197,2021-01-24
160,6308,6468,131175,112085,19090,89.3,2.68849,2.29723,0.39126,112085,19090,2.29723,0.39126,2021-01-25
153,6764,6917,138092,112238,25854,85.8,2.83026,2.30037,0.52989,112238,25854,2.30037,0.52989,2021-01-26
241,6897,7138,145230,112479,32751,73.6,2.97655,2.30531,0.67125,112479,32751,2.30531,0.67125,2021-01-27
173,9036,9209,154439,112652,41787,78.3,3.1653,2.30885,0.85644,112652,41787,2.30885,0.85644,2021-01-28
367,8650,9017,163456,113019,50437,82.9,3.3501,2.31637,1.03373,113019,50437,2.31637,1.03373,2021-01-29
693,8054,8747,172203,113712,58491,87.3,3.52938,2.33058,1.1988,113712,58491,2.33058,1.1988,2021-01-30
392,4374,4766,176969,114104,62865,89.7,3.62706,2.33861,1.28845,114104,62865,2.33861,1.28845,2021-01-31
161,8396,8557,185526,114265,71261,91.6,3.80244,2.34191,1.46053,114265,71261,2.34191,1.46053,2021-02-01
392,6019,6411,191937,114657,77280,77.3,3.93383,2.34995,1.58389,114657,77280,2.34995,1.58389,2021-02-02
481,5457,5938,197875,115138,82737,79.7,4.05554,2.3598,1.69573,115138,82737,2.3598,1.69573,2021-02-03
553,6773,7326,205201,115691,89510,82.7,4.20569,2.37114,1.83455,115691,89510,2.37114,1.83455,2021-02-04
1425,6945,8370,213571,117116,96455,86.0,4.37723,2.40034,1.97689,117116,96455,2.40034,1.97689,2021-02-05
709,3384,4093,217664,117825,99839,87.7,4.46112,2.41488,2.04624,117825,99839,2.41488,2.04624,2021-02-06
714,1601,2315,219979,118539,101440,88.6,4.50857,2.42951,2.07906,118539,101440,2.42951,2.07906,2021-02-07
1929,3047,4976,224955,120468,104487,90.6,4.61055,2.46905,2.14151,120468,104487,2.46905,2.14151,2021-02-08
3446,1800,5246,230201,123914,106287,85.7,4.71807,2.53967,2.1784,123914,106287,2.53967,2.1784,2021-02-09
3697,1054,4751,234952,127611,107341,75.6,4.81545,2.61544,2.2,127611,107341,2.61544,2.2,2021-02-10
3383,630,4013,238965,130994,107971,76.9,4.89769,2.68478,2.21291,130994,107971,2.68478,2.21291,2021-02-11
3742,572,4314,243279,134736,108543,78.3,4.98611,2.76147,2.22464,134736,108543,2.76147,2.22464,2021-02-12
3247,20,3267,246546,137983,108563,71.4,5.05307,2.82802,2.22505,137983,108563,2.82802,2.22505,2021-02-13
112,13,125,246671,138095,108576,71.4,5.05563,2.83032,2.22531,138095,108576,2.83032,2.22531,2021-02-14
4146,240,4386,251057,142241,108816,72.7,5.14552,2.91529,2.23023,142241,108816,2.91529,2.23023,2021-02-15
6461,177,6638,257695,148702,108993,74.6,5.28157,3.04771,2.23386,148702,108993,3.04771,2.23386,2021-02-16
5928,94,6022,263717,154630,109087,76.4,5.405,3.16921,2.23579,154630,109087,3.16921,2.23579,2021-02-17
5764,64,5828,269545,160394,109151,68.3,5.52444,3.28735,2.2371,160394,109151,3.28735,2.2371,2021-02-18
7119,203,7322,276867,167513,109354,70.2,5.67451,3.43325,2.24126,167513,109354,3.43325,2.24126,2021-02-19
6353,71,6424,283291,173866,109425,65.0,5.80617,3.56346,2.24271,173866,109425,3.56346,2.24271,2021-02-20
4628,5,4633,287924,178494,109430,66.1,5.90113,3.65831,2.24282,178494,109430,3.65831,2.24282,2021-02-21
6626,387,7013,294937,185120,109817,67.7,6.04486,3.79412,2.25075,185120,109817,3.79412,2.25075,2021-02-22
7106,266,7372,302309,192226,110083,62.2,6.19596,3.93976,2.2562,192226,110083,3.93976,2.2562,2021-02-23
8128,485,8613,310922,200354,110568,64.0,6.37248,4.10634,2.26614,200354,110568,4.10634,2.26614,2021-02-24
7294,605,7899,318821,207648,111173,65.6,6.53438,4.25584,2.27854,207648,111173,4.25584,2.27854,2021-02-25
7036,1252,8288,327109,214684,112425,67.3,6.70424,4.40004,2.3042,214684,112425,4.40004,2.3042,2021-02-26
8140,847,8987,336096,222824,113272,64.5,6.88844,4.56688,2.32156,222824,113272,4.56688,2.32156,2021-02-27
3299,837,4136,340232,226123,114109,62.9,6.97321,4.63449,2.33871,226123,114109,4.63449,2.33871,2021-02-28
7572,1820,9392,349624,233695,115929,64.7,7.1657,4.78968,2.37602,233695,115929,4.78968,2.37602,2021-03-01
8173,3305,11478,361102,241868,119234,60.9,7.40095,4.95719,2.44375,241868,119234,4.95719,2.44375,2021-03-02
